"tit_projeto" "descricao" "autor_situacao"
Governo Municipal
Situação
PARA PARECER"
"23" "PROC. 01624/17 - PELO 006/17" "Altera o inc. XX do caput do art. 94 da Lei Orgânica do Município de Porto Alegre, dispondo sobre competências privativas do prefeito." "Autor
Ver. José Freitas
Situação
ORDEM DO DIA"
"24" "PROC. 01508/17 - PELO 005/17" "altera o inc. XXII do art. 94 e aos incs. I, II e III do § 6º e aos incs. I e II do § 7º do art. 121 da Lei Orgânica do Município de Porto Alegre. (alteração/prazos/encaminhamento/devolução do Prometa, PPA, LDO e LOA à CMPA/PMPA)" "Autor
Governo Municipal
Situação
ORDEM DO DIA"
"25" "PROC. 01101/17 - PELO 004/17" "Altera o art. 156 e inclui o art. 156-A na Lei Orgânica do Município de Porto Alegre, dispondo sobre a participação da sociedade, por intermédio do Conselho Municipal de Justiça e Segurança, no encaminhamento e na solução dos problemas atinentes à segurança pública e sobre as competências da Guarda Municipal na segurança pública." "Autor
Verª Mônica Leal
Situação
ARQUIVADO"
"26" "PROC. 00869/17 - PELO 003/17" "Altera o inc. VI do § 2º do art. 58 e revoga o § 3º do art. 58 da Lei Orgânica do Município de Porto Alegre, dispondo sobre a apreciação terminativa de proposições no âmbito das Comissões Permanentes." "Autor
Mesa Diretora
Situação
ARQUIVADO"
"27" "PROC. 00459/17 - PELO 002/17" "Inclui parágrafo único no art. 21 da Lei Orgânica do Município de Porto Alegre, condicionando a extinção, a venda e a alienação do controle acionário de empresa pública, sociedade de economia mista, autarquia ou fundação pública à concordância da população manifestada por meio de consulta plebiscitária." "Autor
Ver. Aldacir Oliboni
Situação
ORDEM DO DIA"
"28" "PROC. 00275/17 - PELO 001/17" "Renomeia o parágrafo único para § 4º, alterando-se seu caput e mantendo-se a redação atual de seus incisos, e inclui §§ 1º, 2º e 3º no art. 19 da Lei Orgânica do Município de Porto Alegre, estabelecendo isonomia entre a remuneração dos cargos em comissão da Administração Direta e da Administração Indireta e limitando o valor da remuneração dos..." "Autor
Ver. Idenir Cecchim
Situação
PARA CIENCIA"
"29" "PROC. 02690/16 - PELO 005/16" "altera o art. 40 da Lei Orgânica do Município de Porto Alegre, que dispõe sobre o décimo-terceiro salário dos servidores municipais." "Autor
Governo Municipal
Situação
ARQUIVADO"
"30" "PROC. 02671/16 - PELO 004/16" "Inclui art. 21-A na Lei Orgânica do Município de Porto Alegre, estabelecendo que a alienação ou a transferência de controle acionário, a cisão, a incorporação, a fusão ou a extinção de empresa, companhia ou fundação pública municipal somente poderão ser realizadas se houver manifestação favorável da população expressa mediante plebiscito." "Autor
Ver. Marcelo Sgarbossa
Situação
EM TRAMITACAO"
"31" "PROC. 01671/16 - PELO 003/16" "Altera o art. 54 da Lei Orgânica do Município de Porto Alegre, admitindo a reeleição da Mesa da Câmara Municipal de Porto Alegre." "Autor
Ver. João Carlos Nedel
Situação
ARQUIVADO"
"32" "PROC. 00472/16 - PELO 001/16" "DISPOE SOBRE ALTERACOES NA REDACAO DO CAPUT DO ARTIGO 17 E INCLUI INCISO IV NESTE MESMO ARTIGO DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE." "Autor
ALBERTO KOPITTKE
Situação
ARQUIVADO"
"33" "PROC. 00179/16 - PELO 002/16" "Inclui §§ 4º e 5º no art. 187 da Lei Orgânica do Município de Porto Alegre, obrigando as creches municipais e as creches conveniadas com o Município de Porto alegre a funcionar de segunda-feira a sexta-feira, até as 23h (vinte e três horas), e em sábado e domingo." "Autor
CLAUDIO JANTA
Situação
ORDEM DO DIA"
"34" "PROC. 02961/15 - PELO 005/15" "ALTERA O TEOR DO ART. 54 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, AMPLIANDO PARA DOIS ANOS A DURACAO DO MANDATO DA MESA." "Autor
JOAO CARLOS NEDEL
Situação
ARQUIVADO"
"35" "PROC. 00580/15 - PELO 004/15" "inclui art. 151-A na Lei Orgânica do Município de Porto Alegre, determinando que o Executivo Municipal preste contas à Câmara Municipal acerca das ações e dos programas desenvolvidos no exercício anterior relacionados à proteção de mulheres e de crianças vítimas de violência, à prevenção e ao combate à violência contra a mulher e à promoção dos..." "Autor
Verª Sofia Cavedon
Situação
ARQUIVADO"
"36" "PROC. 00409/15 - PELO 003/15" "INCLUI PARAGRAFO UNICO NO ART. 68 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, ESTENDENDO PRERROGATIVA DE NAO PERDA DE MANDATO AO VEREADOR EM CASO DE ASSUNCAO COMO ADJUNTO OU TITULAR DOS CARGOS QUE DETERMINA." "Autor
AIRTO FERRONATO E OUTROS
Situação
ARQUIVADO"
"37" "PROC. 00090/15 - PELO 002/15" "que inclui parágrafo único no art. 68 da Lei Orgânica do Município de Porto Alegre, estendendo prerrogativa de não perda de mandato ao vereador em caso de assunção como adjunto ou titular dos cargos que determina." "Autor
Ver. Márcio Bins Ely
Situação
ARQUIVADO"
"38" "PROC. 00058/15 - PELO 001/15" "inclui art. 127-A na Lei Orgânica do Município de Porto Alegre, determinando o incentivo à economia criativa." "Autor
Ver. Guilherme Socias Villela
Situação
ARQUIVADO"
"39" "PROC. 02462/14 - PELO 001/14" "Altera o art. 23 da Lei Orgânica do Município de Porto Alegre, determinando que o Município de Porto Alegre realize avaliação periódica de seus planos, programas e projetos." "Autor
Ver. Marcelo Sgarbossa
Situação
ORDEM DO DIA"
"40" "PROC. 03403/13 - PELO 011/13" "ALTERA O ART. 19, NO CAPITULO III ''DA ADMINISTRACAO PUBLICA'' DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, QUE TRATA DA INVESTIDURA EM CARGO OU EMPREGO PUBLICO.." "Autor
CLAUDIO JANTA
Situação
PARA APREGOAR"
"41" "PROC. 02838/13 - PELO 010/13" "INCLUI PARAGRAFO UNICO NO ART. 99 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, PERMITINDO A REALIZACAO DE CONSULTAS REFERENDARIAS E PLEBISCITARIAS POR MEIO DIGITAL." "Autor
ALBERTO KOPITTKE
Situação
ARQUIVADO ART 108"
"42" "PROC. 02830/13 - PELO 009/13" "ALTERA REDACAO DO PARAGRAFO 1., DO ART 73, DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, PELO QUAL DETERMINA QUE TODO O PROJETO DE EMENDA A LEI ORGANICA DEVERA SER SUBMETIDO A CONSULTA PUBLICA E DA OUTRAS PROVIDENCIAS." "Autor
ALBERTO KOPITTKE
Situação
ARQUIVADO"
"43" "PROC. 02514/13 - PELO 008/13" "ALTERA E RENOMEIA PARA PARAGRAFO 4. O PARAGRAFO UNICO E INCLUI PARAGRAFOS 1., 2. E 3. NO ART. 19 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, ESTABELECENDO ISONOMIA ENTRE A REMUNERACAO DOS CARGOS EM COMISSAO DA ADMINISTRACAO DIRETA E DA ADMINISTRACAO INDIRETA." "Autor
IDENIR CECCHIM
Situação
ARQUIVADO"
"44" "PROC. 02324/13 - PELO 007/13" "ALTERA O CAPUT DO ART. 51, DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE - LOMPA -, ALTERANDO O PERIODO ANUAL DE REUNIOES DA CAMARA MUNICIPAL." "Autor
ALBERTO KOPITTKE
Situação
ARQUIVADO"
"45" "PROC. 02284/13 - PELO 006/13" "altera o § 2º do art. 179 da Lei Orgânica do Município de Porto Alegre, dispondo sobre o provimento de meios para que as escolas municipais, progressivamente, funcionem em turno integral." "Autor
do Ver. Clàudio Janta
Situação
ARQUIVADO"
"46" "PROC. 02014/13 - PELO 005/13" "altera o caput do art. 117 e inclui §§ 10 e 11 no art. 119 da Lei Orgânica do Município de Porto Alegre, dispondo sobre a obrigatoriedade de execução dos orçamentos anuais e sobre a impossibilidade de não execução desses." "Autor
Ver. João Carlos Nedel
Situação
ARQUIVADO"
"47" "PROC. 01822/13 - PELO 003/13" "INCLUI O ART. 29-A NO CAPITULO III ''DA ADMINISTRACAO PUBLICA'' DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DEFINIDO AS REGRAS PARA ABERTURA DE CAPITAL, PARTICIPACOES E VENDA DAS INSTITUICOES QUE FORMAM A ADMINISTRACAO INDIRETA ." "Autor
CLAUDIO JANTA
Situação
ORDEM DO DIA"
"48" "PROC. 01082/13 - PELO 002/13" "inclui art. 183-A na Lei Orgânica do Município de Porto Alegre, determinando que sejam aplicados integralmente em educação os recursos provenientes da União a título de distribuição da participação especial e dos royalties decorrentes da exploração de petróleo, gás natural e outros hidrocarbonetos fluidos." "Autor
Verª Sofia Cavedon e outros
Situação
ARQUIVADO"
"49" "PROC. 00471/13 - PELO 001/13" "que altera o § 1º do art. 157 da Lei Orgânica do Município de Porto Alegre, garantindo que os serviços de saúde sejam prestados 24 (vinte e quatro) horas por dia, todos os dias." "Autor
Ver. Clàudio Janta
Situação
ARQUIVADO"
"50" "PROC. 00676/12 - PELO 005/12" "ALTERA O CAPUT DO ART. 61 E O ART. 64 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, INCLUINDO O PODER LEGISLATIVO NO SISTEMA DE CONTROLE INTERNO DE FORMA UNIFICADA COM O PODER EXECUTIVO." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"51" "PROC. 00666/12 - PELO 004/12" "ALTERA O CAPUT DO ART. 61 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, EXCLUINDO A ATRIBUICAO DE O SISTEMA DE CONTROLE INTERNO DA CAMARA MUNICIPAL EXERCER FISCALIZACAO CONTABIL, FINANCEIRA, ORCAMENTARIA, OPERACIONAL E PATRIMONIAL DO MUNICIPIO." "Autor
MESA DIRETORA
Situação
ARQUIVADO"
"52" "PROC. 00462/12 - PELO 003/12" "INCLUI ART. 57-A NA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE O COMPARECIMENTO DO PREFEITO, DOS SECRETARIOS E DOS DIRETORES DE AUTARQUIAS, FUNDACAO E EMPRESAS PUBLICAS EM SESSOES PLENARIAS DA CAMARA MUNICIPAL, COM O FIM DE PRESTAREM INFORMACOES SOBRE MATERIA DE SUA COMPETENCIA." "Autor
MAURO ZACHER E OUTROS
Situação
ARQUIVADO ART 108"
"53" "PROC. 00307/12 - PELO 002/12" "inclui inc. XXII no art. 94 e § 6º no art. 116 da Lei Orgânica do Município de Porto Alegre, incluindo o Programa de Metas (Prometa) no rol de competências privativas do prefeito e determinando que as leis orçamentárias incorporem as prioridades, os indicadores de desempenho e as metas quantitativas e qualitativas desse Programa. Com Emenda nº..." "Autor
Sebastião Melo e outros
Situação
ARQUIVADO"
"54" "PROC. 00112/12 - PELO 001/12" "altera o inc. II do parágrafo único do art. 109 da Lei Orgânica do Município de Porto Alegre, permitindo à Caixa Econômica Federal e ao Fundo de Arrendamento Residencial por ela gerido o recebimento de benefício fiscal relativo ao Imposto sobre Propriedade Predial e Territorial Urbana, nos casos de imóveis relativos a programas habitacionais de..." "Autor
Ver. Nelcir Tessaro e outros
Situação
ARQUIVADO"
"55" "PROC. 03123/11 - PELO 005/11" "ALTERA O PARAGRAFO 1 DO ART. 50 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE - LOMPA - , FIXANDO A COMPOSICAO DA CAMARA MUNICIPAL DE PORTO ALEGRE EM 36 (TRINTA E SEIS) VEREADORES." "Autor
SOFIA CAVEDON, ADELI SELL, DJ CASSIA , MARIO MANFRO , TONI PROENCA , WALDIR CANAL
Situação
ARQUIVADO"
"56" "PROC. 02448/11 - PELO 004/11" "ALTERA O INC. III DO ART. 57 E OS PARAGRAFOS 1 E 2 DO ART. 92 E INCLUI PARAGRAFO 4 NESTE ARTIGO, TODOS DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE COMPETENCIA DA CAMARA MUNICIPAL E LICENCA DO PREFEITO E DO VICE-PREFEITO." "Autor
ELOI GUIMARAES E OUTROS
Situação
ARQUIVADO ART 108"
"57" "PROC. 01958/11 - PELO 003/11" "INCLUI ART. 19-A NA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, PROIBINDO A NOMEACAO OU A DESIGNACAO PARA CARGO EM COMISSAO OU FUNCAO DE DIRECAO, CHEFIA OU ASSESSORAMENTO, NA ADMINISTRACAO DIRETA E NA ADMINISTRACAO INDIRETA, DE PESSOA QUE SEJA INELEGIVEL EM RAZAO DE ATOS ILICITOS." "Autor
ALDACIR JOSE OLIBONI
Situação
ARQUIVADO"
"58" "PROC. 00992/11 - PELO 002/11" "INCLUI PARAGRAFO 1 E RENOMEIA O PARAGRAFO UNICO PARA PARAGRAFO 2 NO ART. 59 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE -LOMPA-, IMPONDO CONDICAO PARA A CRIACAO DE COMISSOES PARLAMENTARES DE INQUERITO." "Autor
BERNARDINO VENDRUSCOLO, E OUTROS
Situação
ARQUIVADO"
"59" "PROC. 00334/11 - PELO 001/11" "ALTERA O CAPUT DO ART. 51 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE - LOMPA -, ALTERANDO O PERIODO ANUAL DE REUNIOES DA CAMARA MUNICIPAL." "Autor
JOAO ANTONIO DIB, ADELI SELL, CARLOS TODESCHINI, FERNANDA MELCHIONNA , MARIA CELESTE, PAULO MARQUES , REGINALDO PUJOL
Situação
ARQUIVADO"
"60" "PROC. 02728/10 - PELO 003/10" "ALTERA O PARAGRAFO UNICO DO ART. 109 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, EXCEPCIONANDO DE IMPEDIMENTO PARA O RECEBIMENTO DE BENEFICIO FISCAL A CAIXA ECONOMICA FEDERAL E O FUNDO DE ARRENDAMENTO RESIDENCIAL POR ELA GERIDO." "Autor
NELCIR TESSARO
Situação
ARQUIVADO"
"61" "PROC. 01387/10 - PELO 002/10" "ALTERA O INC. IV DO ART. 68 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE A LICENCA-GESTANTE DE VEREADORAS." "Autor
NELCIR TESSARO , BERNARDINO VENDRUSCOLO, JOAO CARLOS NEDEL, MARIO MANFRO , MAURO PINHEIRO, TARCISO FLECHA NEGRA
Situação
ARQUIVADO"
"62" "PROC. 00662/10 - PELO 001/10" "ALTERA OS PARAGRAFOS 1 E 2 DO ART. 91 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE A SUBSTITUICAO DO PREFEITO NO CASO DE IMPEDIMENTO." "Autor
JOAO ANTONIO DIB
Situação
ARQUIVADO"
"63" "PROC. 05420/09 - PELO 005/09" "ALTERA O CAPUT E O PARAGRAFO 1 DO ART. 101 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE A REPRESENTACAO NA COMPOSICAO DOS CONSELHOS MUNICIPAIS." "Autor
MESA DIRETORA, ADELI SELL, JOAO CARLOS NEDEL, NELCIR TESSARO , TARCISO FLECHA NEGRA , TONI PROENCA
Situação
PARA ARQUIVAR"
"64" "PROC. 04116/09 - PELO 004/09" "ALTERA O INC. I DO ART. 17 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE A DECLARACAO DE BENS E RENDAS DE OCUPANTES DE CARGO, EMPREGO OU FUNCAO DA ADMINISTRACAO DIRETA E INDIRETA DO MUNICIPIO." "Autor
JULIANA BRIZOLA
Situação
ARQUIVADO ART 108"
"65" "PROC. 04115/09 - PELO 003/09" "ALTERA O ART.18 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, DISPONDO SOBRE A DECLARACAO DE BENS E RENDAS DE OCUPANTES DE CARGO, EMPREGO OU FUNCAO DA ADMINISTRACAO PUBLICA DO MUNICIPIO." "Autor
JULIANA BRIZOLA
Situação
ARQUIVADO ART 108"
"66" "PROC. 01520/09 - PELO 002/09" "INCLUI PARAGRAFO 5 NO ART. 98 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, PERMITINDO A SUBSCRICAO ELETRONICA DE PROJETOS DE INCIATIVA POPULAR POR MEIO DA INTERNET." "Autor
CARLOS TODESCHINI
Situação
ARQUIVADO"
"67" "PROC. 01385/09 - PELO 001/09" "INCLUI PARAGRAFO 3 NO ART. 242 DA LEI ORGANICA DO MUNICIPIO DE PORTO ALEGRE, VEDANDO O PLANTIO DE ESPECIES EXOTICAS DOS GENEROS PINUS E EUCALYPTUS COM OU SEM FIM COMERCIAL." "Autor
PEDRO RUAS
Situação
ARQUIVADO"
"68" "PROC. 04437/08 - PELO 004/08" "Inclui paragrafo unico no art. 72 da lei organica do municipio de porto alegre, estabelecendo previsao de lei complementar para dispor sobre a elaboracao, a redacao, a alteracao e a consolidacao de leis." "Autor
SEBASTIAO MELO, ALDACIR OLIBONI, CARLOS TODESCHINI, CLAUDIO SEBENELO, ERVINO BESSON, MARISTELA MENEGHETTI
Situação
ARQUIVADO"
"69" "PROC. 03751/08 - PELO 003/08" "Altera o paragrafo unico do art. 19 da lei organica do municipio de porto alegre, definindo regras para a ocupacao de cargos em comissao nos poderes executivo e legislativo." "Autor
ALDACIR OLIBONI
Situação
ARQUIVADO"
"70" "PROC. 02731/08 - PELO 002/08" "Altera o paragrafo 2 do art. 225 da lei organica do municipio de porto alegre, possibilitando ao municipio exigir o tratamento de esgoto domestico por parte do proprietario." "Autor
BETO MOESCH, JOAO ANTONIO DIB, LUIZ BRAZ, NEUZA CANABARRO
Situação
ARQUIVADO"
"71" "PROC. 02085/08 - PELO 001/08" "Acrescenta paragrafo unico ao artigo 33 da lei organica do municipio." "Autor
GOVERNO MUNICIPAL
Situação
ARQUIVADO"
"72" "PROC. 09163/07 - PELO 005/07" "Altera dispositivos da lei organica do municipio de porto alegre." "Autor
MARIA CELESTE, MARISTELA MENEGHETTI
Situação
ARQUIVADO"
"73" "PROC. 06972/07 - PELO 004/07" "Inclui 1 e 2 no art. 49 da lei organica do municipio de porto alegre e revoga o art. 23 do ato das disposicoes organicas gerais e transitorias da lei organica do municipio de porto alegre, determinando a garantia, pelo municipio, da manutencao da entidade de assistencia a saude, mediante a participacao de seus servidores, e definindo a forma de..." "Autor
MESA DIRETORA, ALCEU BRASINHA, ALDACIR OLIBONI, JOAO CARLOS NEDEL, MARISTELA MENEGHETTI, NEUZA CANABARRO
Situação
ARQUIVADO ART 108"
