"tit_projeto" "descricao" "autor_situacao"
"18" "PROC. 00628/19 - PLL 267/19" "INCLUI A EFEMERIDE MES DA LUTA E CONSIENTIZACAO CONTRA A AIDS - DEZEMBRO VERMELHO - NO ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE-, E ALTERACOES POSTERIORES, NO MES DE DEZEMBRO." "Autor
ALDACIR OLIBONI
Situação
P - PARA CONSULTA"
"19" "PROC. 00626/19 - PLL 265/19" "DENOMINA PASSAGEM DORA LIDIA BISCHOFF O LOGRADOURO PUBLICO NAO CADASTRADO, CONHECIDO COMO PSG PB VILA FARRAPOS, LOCALIZADO NO BAIRRO FARRAPOS." "Autor
JOAO CARLOS NEDEL
Situação
EM TRAMITACAO"
"20" "PROC. 00625/19 - PLL 264/19" "DISPOE SOBRE O ESTATUTO DA CRIANCA E DO ADOLESCENTE COM CANCER NO AMBITO DO MUNICIPIO DE PORTO ALEGRE." "Autor
MARCIO BINS ELY
Situação
P - PARA CONSULTA"
"21" "PROC. 00623/19 - PLL 263/19" "INCLUI A EFEMERIDE AGOSTO LARANJA - MES DA CONCIENTIZACAO DA ESCLEROSE MULTIPLA, ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSCIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE-, E ALTERACOES POSTERIORES, NO MES DE AGOSTO." "Autor
MARCIO BINS ELY
Situação
EM TRAMITACAO"
"22" "PROC. 00622/19 - PLL 262/19" "INSTITUI O DIA DO ESTOMIZADO COMO CONSIENTIZACAO, PREVENCAO E DIAGNOSTICO PRECOCE DO CANCER INTESTINAL (COLORRETAL), NO AMBITO DO MUNICIPIO DE PORTO ALEGRE, A SER COMEMORADO ANUALMENTE NO DIA 25 DE NOVEMBRO." "Autor
AIRTO FERRONATO
Situação
P - PARA CONSULTA"
"23" "PROC. 00617/19 - PLL 261/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO DOUTOR PLINIO CARLOS BAU." "Autor
PAULO BRUM
Situação
EM TRAMITACAO"
"24" "PROC. 00616/19 - PLL 260/19" "DECLARA DE UTILIDADE PUBLICA A ASSOCIACAO RECREATIVA E CARNAVALESCA UNIAO DA VILA DO IAPI." "Autor
MAURO ZACHER
Situação
EM TRAMITACAO"
"25" "PROC. 00615/19 - PLL 259/19" "DISPOE SOBRE A PRESENCA DE DOULAS NOS ESTABELECIMENTOS HOSPITALARES DURANTE O PERIODO DE TRABALHO DE PARTO, PARTO E POS-PARTO IMEDIATO." "Autor
PROFESSOR ALEX FRAGA
Situação
P - PARA CONSULTA"
"26" "PROC. 00614/19 - PLL 258/19" "INSTITUI O PROGRAMA MUNICIPAL DE VALORIZACAO DA VIDA E PREVENCAO AO SUICIDIO." "Autor
COSMAM-COMISSAO DE SAUDE E MEIO AMBIENTE
Situação
EM TRAMITACAO"
"27" "PROC. 00602/19 - PLL 257/19" "TOMBA, COMO PATRIMONIO HISTORICO DO MUNICIPIO DE PORTO ALEGRE, O BARA DO MERCADO PUBLICO." "Autor
ADELI SELL E OUTROS
Situação
P - PARA CONSULTA"
"28" "PROC. 00600/19 - PLL 256/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO SENHOR HUMBERTO COELHO NETO E SILVA." "Autor
MARCIO BINS ELY
Situação
EM TRAMITACAO"
"29" "PROC. 00599/19 - PLL 255/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO SENHOR JUAN PABLO DAVILA BOEIRA." "Autor
MOISES BARBOZA
Situação
P - PARA CONSULTA"
"30" "PROC. 00598/19 - PLL 254/19" "DENOMINA UNIDADE BASICA DE SAUDE PAULO AVILA O EQUIPAMENTO PUBLICO LOCALIZADO NA RUA PAULO MACIEL Nº 220, NO MUNICIPIO DE PORTO ALEGRE." "Autor
ENGENHEIRO COMASSETTO
Situação
P - PARA CONSULTA"
"31" "PROC. 00593/19 - PLL 252/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO SENHOR ROGERIO FAVRETO." "Autor
MARGARETE MORAES
Situação
EM TRAMITACAO"
"32" "PROC. 00594/19 - PLL 253/19" "CONCEDE O TITULO DE CIDADAO EMERITO DE PORTO ALEGRE A SENHORA MANUELA PINTO VIEIRA D'AVILA." "Autor
MARGARETE MORAES
Situação
EM TRAMITACAO"
"33" "PROC. 00589/19 - PLL 251/19" "INCLUI O EVENTO COMIDA DI BUTECO - ETAPA PORTO ALEGRE NO ANEXO II DA LEI Nº 10.903, DE 31 DE MAIO DE 2010 - CALENDARIO DE EVENTOS DE PORTO ALEGRE E CALENDARIO MENSAL DE ATIVIDADES DE PORTO ALEGRE -, E ALTERACOES POSTERIORES, NO MES DE ABRIL E MAIO." "Autor
MOISES BARBOZA
Situação
P - PARA CONSULTA"
"34" "PROC. 00582/19 - PLL 250/19" "INCLUI, NO CAPITULO III, A SECAO I E O ART. 26 NA LEI Nº 10.605, DE 29 DE DEZEMBRO DE 2008, QUE CONSOLIDA, NO MUNICIPIO DE PORTO ALEGRE, A LEGISLACAO DE QUE DISPOE SOBRE O COMERCIO AMBULANETE E A PRESTACAO DE SERVICOS AMBULANTES NAS VIAS E NOS LOGRADOUROS PUBLICOS, SOBRE A PUBLICIDADE NOS EQUIPAMENTOS DESSE COMERCIO E DESSA PRESTACAO DE SERVICOS." "Autor
ADELI SELL
Situação
EM TRAMITACAO"
"35" "PROC. 00575/19 - PLL 249/19" "INTITULA PORTO ALEGRE A CAPITAL DA MICROCERVEJARIA ARTESANAL." "Autor
MOISES BARBOZA
Situação
P - PARA CONSULTA"
"36" "PROC. 00569/19 - PLL 248/19" "DECLARA DE UTILIDADE PUBLICA A ENTIDADE INSTITUTO BESOURO DE FOMENTO SOCIAL E PESQUISA." "Autor
RICARDO GOMES
Situação
P - PARA CONSULTA"
"37" "PROC. 00566/19 - PLL 246/19" "Grava como praça e denomina Praça Topázio a área localizada no confronto entre a Rua Serafim de Moraes Martins e a Rua João Francisco Barbosa, no Bairro Vila Nova." "Autor
Ver. Mauro Zacher
Situação
PARA PARECER"
"38" "PROC. 00567/19 - PLL 247/19" "CONCEDE TITULO DE CIDADAO DE PORTO ALEGRE A BRENO DE AVILA ALMEIDA." "Autor
CASSIA CARPES
Situação
EM TRAMITACAO"
"39" "PROC. 00565/19 - PLL 245/19" "DA NOVA REDACAO AO PARAGRAFO UNICO DA LEI Nº 11.299, DE 19 DE JUNHO DE 2012 - INTEGRA AO PATRIMONIO CULTURAL DO MUNICIPIO DE PORTO ALEGRE A MOCAMBO - ASSOCIACAO COMUNITARIA AMIGOS E MORADORES DO BAIRRO CIDADE BAIXA E ARREDORES, COM BASE NO ART. 14 DA LEI COMPLEMENTAR Nº 434, DE 1° DE DEZEMBRO DE 1999 - PLANO DIRETOR DE DESENVOLVIMENTO URBANO..." "Autor
ENGENHEIRO COMASSETTO
Situação
P - PARA CONSULTA"
"40" "PROC. 00564/19 - PLL 244/19" "DESTINA ESPACO NA AREA LOCALIZADA NA AV. PADRE CACIQUE, EM FRENTE AO NUMERO 2000, PARA A INSTALACAO DE ESTATUA EM HOMENAGEM AO MUSICO, COMPOSITOR, RADIALISTA, ATOR E PRODUTOR DE CINEMA VITOR MATEUS TEIXEIRA, CONHECIDO COMO TEIXEIRINHA." "Autor
MARCIO BINS ELY
Situação
P - PARA CONSULTA"
"41" "PROC. 00623/19 - PLL 263/19" "INCLUI A EFEMERIDE AGOSTO LARANJA - MES DA CONCIENTIZACAO DA ESCLEROSE MULTIPLA, ANEXO DA LEI Nº 10.904, DE 31 DE MAIO DE 2010 - CALENDARIO DE DATAS COMEMORATIVAS E DE CONSCIENTIZACAO DO MUNICIPIO DE PORTO ALEGRE-, E ALTERACOES POSTERIORES, NO MES DE AGOSTO." "Autor
MARCIO BINS ELY
Situação
EM TRAMITACAO"
"42" "PROC. 00622/19 - PLL 262/19" "INSTITUI O DIA DO ESTOMIZADO COMO CONSIENTIZACAO, PREVENCAO E DIAGNOSTICO PRECOCE DO CANCER INTESTINAL (COLORRETAL), NO AMBITO DO MUNICIPIO DE PORTO ALEGRE, A SER COMEMORADO ANUALMENTE NO DIA 25 DE NOVEMBRO." "Autor
AIRTO FERRONATO
Situação
P - PARA CONSULTA"
"43" "PROC. 00617/19 - PLL 261/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO DOUTOR PLINIO CARLOS BAU." "Autor
PAULO BRUM
Situação
EM TRAMITACAO"
"44" "PROC. 00616/19 - PLL 260/19" "DECLARA DE UTILIDADE PUBLICA A ASSOCIACAO RECREATIVA E CARNAVALESCA UNIAO DA VILA DO IAPI." "Autor
MAURO ZACHER
Situação
EM TRAMITACAO"
"45" "PROC. 00615/19 - PLL 259/19" "DISPOE SOBRE A PRESENCA DE DOULAS NOS ESTABELECIMENTOS HOSPITALARES DURANTE O PERIODO DE TRABALHO DE PARTO, PARTO E POS-PARTO IMEDIATO." "Autor
PROFESSOR ALEX FRAGA
Situação
P - PARA CONSULTA"
"46" "PROC. 00614/19 - PLL 258/19" "INSTITUI O PROGRAMA MUNICIPAL DE VALORIZACAO DA VIDA E PREVENCAO AO SUICIDIO." "Autor
COSMAM-COMISSAO DE SAUDE E MEIO AMBIENTE
Situação
EM TRAMITACAO"
"47" "PROC. 00602/19 - PLL 257/19" "TOMBA, COMO PATRIMONIO HISTORICO DO MUNICIPIO DE PORTO ALEGRE, O BARA DO MERCADO PUBLICO." "Autor
ADELI SELL E OUTROS
Situação
P - PARA CONSULTA"
"48" "PROC. 00600/19 - PLL 256/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO SENHOR HUMBERTO COELHO NETO E SILVA." "Autor
MARCIO BINS ELY
Situação
EM TRAMITACAO"
"49" "PROC. 00599/19 - PLL 255/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO SENHOR JUAN PABLO DAVILA BOEIRA." "Autor
MOISES BARBOZA
Situação
P - PARA CONSULTA"
"50" "PROC. 00598/19 - PLL 254/19" "DENOMINA UNIDADE BASICA DE SAUDE PAULO AVILA O EQUIPAMENTO PUBLICO LOCALIZADO NA RUA PAULO MACIEL Nº 220, NO MUNICIPIO DE PORTO ALEGRE." "Autor
ENGENHEIRO COMASSETTO
Situação
P - PARA CONSULTA"
"51" "PROC. 00593/19 - PLL 252/19" "CONCEDE O TITULO DE CIDADAO DE PORTO ALEGRE AO SENHOR ROGERIO FAVRETO." "Autor
MARGARETE MORAES
Situação
EM TRAMITACAO"
"52" "PROC. 00594/19 - PLL 253/19" "CONCEDE O TITULO DE CIDADAO EMERITO DE PORTO ALEGRE A SENHORA MANUELA PINTO VIEIRA D'AVILA." "Autor
MARGARETE MORAES
Situação
EM TRAMITACAO"
"53" "PROC. 00589/19 - PLL 251/19" "INCLUI O EVENTO COMIDA DI BUTECO - ETAPA PORTO ALEGRE NO ANEXO II DA LEI Nº 10.903, DE 31 DE MAIO DE 2010 - CALENDARIO DE EVENTOS DE PORTO ALEGRE E CALENDARIO MENSAL DE ATIVIDADES DE PORTO ALEGRE -, E ALTERACOES POSTERIORES, NO MES DE ABRIL E MAIO." "Autor
MOISES BARBOZA
Situação
P - PARA CONSULTA"
"54" "PROC. 00582/19 - PLL 250/19" "INCLUI, NO CAPITULO III, A SECAO I E O ART. 26 NA LEI Nº 10.605, DE 29 DE DEZEMBRO DE 2008, QUE CONSOLIDA, NO MUNICIPIO DE PORTO ALEGRE, A LEGISLACAO DE QUE DISPOE SOBRE O COMERCIO AMBULANETE E A PRESTACAO DE SERVICOS AMBULANTES NAS VIAS E NOS LOGRADOUROS PUBLICOS, SOBRE A PUBLICIDADE NOS EQUIPAMENTOS DESSE COMERCIO E DESSA PRESTACAO DE SERVICOS." "Autor
ADELI SELL
Situação
EM TRAMITACAO"
"55" "PROC. 00575/19 - PLL 249/19" "INTITULA PORTO ALEGRE A CAPITAL DA MICROCERVEJARIA ARTESANAL." "Autor
MOISES BARBOZA
Situação
P - PARA CONSULTA"
"56" "PROC. 00569/19 - PLL 248/19" "DECLARA DE UTILIDADE PUBLICA A ENTIDADE INSTITUTO BESOURO DE FOMENTO SOCIAL E PESQUISA." "Autor
RICARDO GOMES
Situação
P - PARA CONSULTA"
"57" "PROC. 00566/19 - PLL 246/19" "Grava como praça e denomina Praça Topázio a área localizada no confronto entre a Rua Serafim de Moraes Martins e a Rua João Francisco Barbosa, no Bairro Vila Nova." "Autor
Ver. Mauro Zacher
Situação
PARA PARECER"
"58" "PROC. 00567/19 - PLL 247/19" "CONCEDE TITULO DE CIDADAO DE PORTO ALEGRE A BRENO DE AVILA ALMEIDA." "Autor
CASSIA CARPES
Situação
EM TRAMITACAO"
