"tit_projeto" "descricao" "autor_situacao"
"19" "PROC. 01605/15 - PDL 005/15" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DO DIA 15 AO DIA 24 DE JULHO DE 2015, PARA VIAJAR A ROMA, NA ITALIA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"20" "PROC. 01417/15 - PDL 004/15" "Susta, com base no inc. IV do art. 57 da Lei Orgânica do Município de Porto Alegre, a Resolução EPTC nº 3, de 9 de junho de 2010 – que delimita as áreas onde será proibido o tráfego de Veículos de Tração Animal e Tração Humana no Município de Porto Alegre e dá outras providências –, alterada pela Resolução EPTC nº 4, de 28 de fevereiro de 2013." "Autor
Ver. Marcelo Sgarbossa
Situação
ORDEM DO DIA"
"21" "PROC. 01202/15 - PDL 003/15" "autoriza o Prefeito Municipal de Porto Alegre, senhor José Fortunati, a ausentar-se do País, do dia 24 ao dia 28 de maio de 2015, para, integrando comitiva gaúcha com o Governador José Ivo Sartori, viajar a Paris, na França, e a Erlangen, na Alemanha." "Autor
Comissão de Constituição e Justiça
Situação
ARQUIVADO"
"22" "PROC. 01145/15 - PDL 002/15" "autoriza o prefeito municipal de Porto Alegre, senhor José Fortunati, a ausentar-se do País, do dia 19 de maio ao dia 21 de maio de 2015, para viajar a Buenos Aires, na Argentina." "Autor
Comissão de Constituição e Justiça
Situação
ARQUIVADO"
"23" "PROC. 00958/15 - PDL 001/15" "autoriza a Câmara Municipal de Porto Alegre (CMPA) a aderir ao Parlamento Metropolitano da Grande Porto Alegre e determina que a Mesa Diretora da CMPA proceda à indicação oficial de 1 (um) vereador como membro titular e de 1 (um) vereador como membro suplente, para integrarem esse espaço institucional." "Autor
Mesa Diretora
Situação
ARQUIVADO"
"24" "PROC. 02614/14 - PDL 005/14" "que susta, com base no inc. IV do art. 57 da Lei Orgânica do Município de Porto Alegre, o parágrafo único do art. 14 do Decreto nº 18.623, de 24 de abril de 2014 – que dispõe sobre o processo administrativo de aprovação e licenciamento de edificações, obras, vistorias prediais, numeração e manutenção das edificações, uniformizando os..." "Autor
Ver. Reginaldo Pujol
Situação
ARQUIVADO"
"25" "PROC. 02539/14 - PDL 004/14" "CONCEDE AO VICE-PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR SEBASTIAO MELO, LICENCA PARA VIAJAR A BARCELONA, NA ESPANHA, DO DIA 16 AO DIA 23 DE NOVEMBRO DE 2014." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"26" "PROC. 02538/14 - PDL 003/14" "CONCEDE AO VICE-PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR SEBASTIAO MELO, LICENCA PARA VIAJAR A CIDADE DO MEXICO, NO MEXICO, DO DIA 10 AO DIA 14 DE NOVEMBRO DE 2014." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"27" "PROC. 02267/14 - PDL 002/14" "CONCEDE AO PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, LICENCA PARA VIAJAR A PARIS, NA FRANCA, DO DIA 08 AO DIA 12 DE OUTUBRO DE 2014." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"28" "PROC. 00673/14 - PDL 001/14" "CONCEDE AO PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE DORTUNATI, LICENCA PARA VIAJAR A MONTEVIDEO, NO URUGUAI, DO DIA 19 AO DIA 20 DE MARCO DE 2014." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"29" "PROC. 02751/13 - PDL 003/13" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A AUSENTAR-SE DO PAIS, NO PERIODO DE 25 DE SETEMBRO A 7 DE OUTUBRO DE 2013, PARA VIAJAR AS CIDADES ROMA, NA ITALIA, RABAT, EM MARROCOS, E PARIS, NA FRANCA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"30" "PROC. 01658/13 - PDL 002/13" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A AUSENTAR-SE DO PAIS, NO PERIODO DE 21 A 28 DE MAIO DE 2013, PARA VIAJAR A CIDADE DE SAO FRANCISCO, NOS ESTADOS UNIDOS DA AMERICA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"31" "PROC. 00522/13 - PDL 001/13" "CONCEDE AO VICE-PREFEITO MUNICIPAL DE PORTO ALEGRE,SENHOR SEBASTIAO MELO,LICENCA PARA TRATAR DE ASSUNTO DE INTERESSE PARTICULAR,DO DIA 03 AO DIA 13 DE FEVEREIRO DE 2013." "Autor
MESA DIRETORA
Situação
ARQUIVADO"
"32" "PROC. 02381/12 - PDL 002/12" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A SE AUSENTAR DO PAIS, DE 12 DE NOVEMBRO DE 2012 A 16 DE NOVEMBRO DE 2012, PARA VIAJAR AOS ESTADOS UNIDOS DA AMERICA." "Autor
MESA DIRETORA
Situação
ARQUIVADO"
"33" "PROC. 00248/12 - PDL 001/12" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DAS 14:02MIN DO DIA 02 DE FEVEREIRO AS 13:44MIN DO DIA 12 DE FEVEREIRO DE 2012, PARA VIAJAR AO ESTADO DA PALESTINA E ISRAEL." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"34" "PROC. 02405/11 - PDL 002/11" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SR. JOSE FORTUNATI, A AUSENTAR-SE DO MUNICIPIO E DO PAIS, PARA VIAJAR A ROSARIO, NA ARGENTINA, NA DATA DE HOJE." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"35" "PROC. 01706/11 - PDL 001/11" "AUTORIZA O PREFEITO MUNICIPAL DE PORTO ALEGRE, SENHOR JOSE FORTUNATI, A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DAS 20H35MIN DO DIA 06.05.11 ATE AS 09H DO DIA 09.05.11, PARA VIAJAR PARA A ARGENTINA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"36" "PROC. 04009/10 - PDL 004/10" "AUTORIZA O PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 14 DE NOVEMBRO ATE 21 DE NOVEMBRO 2010, PARA VIAJAR AO MEXICO." "Autor
SETOR DE PROTOCOLO
Situação
ARQUIVADO"
"37" "PROC. 03512/10 - PDL 003/10" "AUTORIZA O PREFEITO MUNICIPAL A AUSENTAR-SE DO MUNICIPIO E DO PAIS, DE 3 DE OUTUBRO ATE 12 DE OUTUBRO DE 2010, PARA VIAJAR A ESPANHA." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
